ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents
7406318,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.08772797245038871,0.06,3.32,1.8,5,0.5,167937.0,0.0,10,3
6677942,0.7938443201499811,161087.0,127878.0,[],50,1.3,0.3,10,10,0.1,0.07858245986503619,0.02,3.32,1.52,5,0.5,161087.0,0.0,10,3
410927,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.07313851751251822,0.04,3.32,1.7,5,0.5,167937.0,0.0,10,3
4843630,0.9285624966505297,167937.0,155940.0,[],50,1.3,0.3,10,10,0.1,0.06679810685858277,0.04,3.32,1.54,5,0.5,167937.0,0.0,10,3
5916378,1.000029773069663,167937.0,167942.0,[],50,1.3,0.3,10,10,0.1,0.07773932709195547,0.03,3.32,1.54,5,0.5,167937.0,0.0,10,3
7483997,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.08234969473893017,0.07,3.32,1.53,5,0.5,167937.0,0.0,10,3
738809,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.06509127262293873,0.04,3.32,1.51,5,0.5,167937.0,0.0,10,3
4493534,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.09983280378901009,0.03,3.32,1.53,5,0.5,167937.0,0.0,10,3
4324810,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.08800014816979092,0.04,3.32,1.76,5,0.5,167937.0,0.0,10,3
7312102,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.07947288456705079,0.05,3.32,1.52,5,0.5,167937.0,0.0,10,3
1026702,0.7940954048244282,167937.0,133358.0,[],50,1.3,0.3,10,10,0.1,0.08288442381561639,0.06,3.32,1.59,5,0.5,167937.0,0.0,10,3
3386709,1.0000238184557304,167937.0,167941.0,[],50,1.3,0.3,10,11,0.1,0.05611192345555826,0.05,3.32,1.55,5,0.5,167937.0,0.0,10,3
