ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents,greedy_costs,sampling_costs,factorial_costs,exact_costs
1533174,0.8000374973216199,186680.0,149351.0,[],50,1.3,0.5,5,5,0.1,0.06465479060708648,0.04,2.82,0.94,0,0.5,0,186680.0,0.0,6,4,0.0,0.0,0.0,47710.50302117952
9722518,0.6000434896059842,229940.0,137974.0,[],50,1.3,0.5,5,5,0.1,0.07082828665349758,0.02,2.98,0.9,0,0.5,0,229940.0,0.0,6,4,0.0,0.0,0.0,39538.77443742948
4981247,0.7916403640817296,185343.0,146725.0,[],50,1.3,0.5,5,5,0.1,0.07035176115562727,0.04,3.08,0.91,0,0.5,0,185343.0,0.0,6,4,0.0,0.0,0.0,63753.011881460174
5604228,0.8000217325161907,230070.0,184061.0,[],50,1.3,0.5,5,5,0.1,0.09998259866088852,0.02,3.22,0.81,0,0.5,0,230070.0,0.0,6,4,0.0,0.0,0.0,25933.45989723195
8787637,0.8000373936617743,160455.0,128370.0,[],50,1.3,0.5,5,5,0.1,0.08417994018212767,0.03,3.04,0.86,0,0.5,0,160455.0,0.0,6,4,0.0,0.0,0.0,52262.902931257944
1331644,1.0,220632.0,220632.0,[],50,1.3,0.5,5,5,0.1,0.06929366899465622,0.02,2.96,0.81,0,0.5,0,220632.0,0.0,6,4,0.0,0.0,0.0,58458.14986671042
8364691,0.6000443115099147,225675.0,135415.0,[],50,1.3,0.5,5,5,0.1,0.05942932290801463,0.03,2.9,1.0,0,0.5,0,225675.0,0.0,6,4,0.0,0.0,0.0,17188.465126212333
6497738,1.0,247298.0,247298.0,[],50,1.3,0.5,5,5,0.1,0.09850760679976733,0.02,2.94,0.89,0,0.5,0,247298.0,0.0,6,4,0.0,0.0,0.0,73660.9587033546
8264226,0.7907496529384545,216100.0,170881.0,[],50,1.3,0.5,5,5,0.1,0.06670743930692331,0.02,3.1,0.83,0,0.5,0,216100.0,0.0,6,4,0.0,0.0,0.0,62705.191702923345
2052824,0.6000365116746079,273885.0,164341.0,[],50,1.3,0.5,5,5,0.1,0.07965376281244094,0.02,2.86,0.98,0,0.5,0,273885.0,0.0,6,4,0.0,0.0,0.0,33194.27769972199
8654974,0.6000460585404048,217115.0,130279.0,[],50,1.3,0.5,5,5,0.1,0.08577449245572831,0.03,2.78,0.99,0,0.5,0,217115.0,0.0,6,4,0.0,0.0,0.0,23949.963970986988
3943432,1.0000178180862485,224491.0,224495.0,[],50,1.3,0.5,5,5,0.1,0.08088197121879014,0.03,2.84,0.9,0,0.5,0,224491.0,0.0,6,4,0.0,0.0,0.0,55931.732183035005
9299443,0.7902445955376881,239293.0,189100.0,[],50,1.3,0.5,5,5,0.1,0.07696544968595657,0.02,2.82,0.91,0,0.5,0,239293.0,0.0,6,4,0.0,0.0,0.0,54691.887640657835
2740605,0.6000477326968974,209500.0,125710.0,[],50,1.3,0.5,5,5,0.1,1.0,0.02,2.96,0.88,0,0.5,0,209500.0,0.0,6,4,0.0,0.0,0.0,27227.59632192264
6190180,0.6000492975104758,202850.0,121720.0,[],50,1.3,0.5,5,5,0.1,0.07889706622495131,0.02,2.8,0.94,0,0.5,0,202850.0,0.0,6,4,0.0,0.0,0.0,31183.91553933292
488315,0.6000485260220794,206075.0,123655.0,[],50,1.3,0.5,5,5,0.1,0.08717051038428371,0.03,3.06,0.84,0,0.5,0,206075.0,0.0,6,4,0.0,0.0,0.0,31612.314137084453
4517980,0.6000501768734791,199295.0,119587.0,[],50,1.3,0.5,5,5,0.1,0.08816163773579044,0.03,2.78,1.01,0,0.5,0,199295.0,0.0,6,4,0.0,0.0,0.0,48458.31808898565
7489896,1.0,209783.0,209783.0,[],50,1.3,0.5,5,5,0.1,0.06123890714812287,0.02,3.02,0.86,0,0.5,0,209783.0,0.0,6,4,0.0,0.0,0.0,69991.73703326774
7963619,0.7507234050872974,204588.0,153589.0,[],50,1.3,0.5,5,5,0.1,0.07122493419039201,0.03,2.78,0.96,0,0.5,0,204588.0,0.0,6,4,0.0,0.0,0.0,35060.94193291146
3330311,1.0,195160.0,195160.0,[],50,1.3,0.5,5,5,0.1,0.0481126765781562,0.02,2.94,0.88,0,0.5,0,195160.0,0.0,6,4,0.0,0.0,0.0,16197.717855487605
