ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents
1948209,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,11,0.1,0.06920169687344352,0.04,2.74,1.9,5,0.5,107545.0,0.0,10,5
1317278,0.6002231623971361,107545.0,64551.0,[],50,1.3,0.2,10,10,0.1,0.08456158177059461,0.05,2.74,1.88,5,0.5,107545.0,0.0,10,5
4055871,0.6002045655307081,107545.0,64549.0,[],50,1.3,0.2,10,10,0.1,0.08026321637833422,0.05,2.74,1.88,5,0.5,107545.0,0.0,10,5
8340421,0.5980101352922033,107545.0,64313.0,[],50,1.3,0.2,10,10,0.1,0.065487591457683,0.02,2.74,1.89,5,0.5,107545.0,0.0,10,5
3654392,0.6002045655307081,107545.0,64549.0,[],50,1.3,0.2,10,10,0.1,0.07174196550713675,0.03,2.74,1.9,5,0.5,107545.0,0.0,10,5
8707948,0.6001859686642801,107545.0,64547.0,[],50,1.3,0.2,10,10,0.1,0.08012372335443249,0.02,2.74,1.86,5,0.5,107545.0,0.0,10,5
6546612,0.6002045655307081,107545.0,64549.0,[],50,1.3,0.2,10,10,0.1,0.07611212085230577,0.02,2.74,1.89,5,0.5,107545.0,0.0,10,5
2522493,0.6001859686642801,107545.0,64547.0,[],50,1.3,0.2,10,10,0.1,0.08118383700142771,0.03,2.74,1.95,5,0.5,107545.0,0.0,10,5
5712552,0.6001859686642801,107545.0,64547.0,[],50,1.3,0.2,10,10,0.1,0.0812738151013992,0.04,2.74,1.87,5,0.5,107545.0,0.0,10,5
1557704,0.6001859686642801,107545.0,64547.0,[],50,1.3,0.2,10,10,0.1,0.07820876467092717,0.05,2.74,1.91,5,0.5,107545.0,0.0,10,5
3030003,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,10,0.1,0.06503725115121561,0.03,2.74,1.92,5,0.5,107545.0,0.0,10,5
2994456,0.5867683295364731,107545.0,63104.0,[],50,1.3,0.2,10,10,0.1,0.08166497573132073,0.03,2.74,1.93,5,0.5,107545.0,0.0,10,5
847863,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,10,0.1,0.08558005872857466,0.03,2.74,1.9,5,0.5,107545.0,0.0,10,5
9537921,0.6001859686642801,107545.0,64547.0,[],50,1.3,0.2,10,10,0.1,0.07122958546091084,0.04,2.74,1.93,5,0.5,107545.0,0.0,10,5
4652435,0.6001859686642801,107545.0,64547.0,[],50,1.3,0.2,10,10,0.1,0.07060749664550224,0.03,2.74,1.88,5,0.5,107545.0,0.0,10,5
3486918,0.6001859686642801,107545.0,64547.0,[],50,1.3,0.2,10,10,0.1,0.06988248108810513,0.02,2.74,1.9,5,0.5,107545.0,0.0,10,5
569489,0.5815984006694872,107545.0,62548.0,[],50,1.3,0.2,10,9,0.1,0.08914701193284963,0.02,2.74,1.77,5,0.5,107545.0,0.0,10,5
9281489,0.6001859686642801,107545.0,64547.0,[],50,1.3,0.2,10,10,0.1,0.09023337642115285,0.02,2.74,1.94,5,0.5,107545.0,0.0,10,5
1524727,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,10,0.1,0.07837257163862615,0.04,2.74,1.93,5,0.5,107545.0,0.0,10,5
5274969,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,10,0.1,0.05863553112225982,0.02,2.74,1.91,5,0.5,107545.0,0.0,10,5
9743691,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,10,0.1,0.08280401331382,0.03,2.74,1.89,5,0.5,107545.0,0.0,10,5
6117768,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,11,0.1,0.0791915761790172,0.03,2.74,1.95,5,0.5,107545.0,0.0,10,5
2886209,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,10,0.1,0.06967445129241268,0.02,2.74,1.9,5,0.5,107545.0,0.0,10,5
1161439,0.6002231623971361,107545.0,64551.0,[],50,1.3,0.2,10,17,0.1,0.0638527870127446,0.08,2.74,2.07,5,1.5,107545.0,0.0,10,5
300379,0.6002138639639221,107545.0,64550.0,[],50,1.3,0.2,10,12,0.1,0.06639246242495528,0.07,2.74,2.1,5,1.5,107545.0,0.0,10,5
7836996,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,10,0.1,0.07037167082041246,0.02,2.74,1.89,5,0.5,107545.0,0.0,10,5
6656736,0.48479241247849736,107545.0,52137.0,[],50,1.3,0.2,10,10,0.1,0.08812899949674127,0.03,2.74,1.91,5,0.5,107545.0,0.0,10,5
7910449,0.6001859686642801,107545.0,64547.0,[],50,1.3,0.2,10,10,0.1,0.08348934796662888,0.03,2.74,1.9,5,0.5,107545.0,0.0,10,5
3787326,0.6001859686642801,107545.0,64547.0,[],50,1.3,0.2,10,10,0.1,0.07867154933993795,0.02,2.74,1.89,5,0.5,107545.0,0.0,10,5
9674043,0.6002045655307081,107545.0,64549.0,[],50,1.3,0.2,10,10,0.1,0.08745919270465999,0.02,2.74,1.89,5,0.5,107545.0,0.0,10,5
2957054,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,10,0.1,0.07862601260312044,0.03,2.74,1.92,5,0.5,107545.0,0.0,10,5
9036507,0.6002138639639221,107545.0,64550.0,[],50,1.3,0.2,10,10,0.1,0.08284652233079651,0.02,2.74,1.93,5,0.5,107545.0,0.0,10,5
7986100,0.6002045655307081,107545.0,64549.0,[],50,1.3,0.2,10,13,0.1,0.0807855823659189,0.06,2.74,2.09,5,0.5,107545.0,0.0,10,5
5041236,0.6002045655307081,107545.0,64549.0,[],50,1.3,0.2,10,10,0.1,0.06453963387841588,0.04,2.74,1.92,5,0.5,107545.0,0.0,10,5
8900049,0.6001859686642801,107545.0,64547.0,[],50,1.3,0.2,10,10,0.1,0.07998958164957135,0.04,2.74,1.95,5,0.5,107545.0,0.0,10,5
3312727,0.6002050335742478,97545.0,58547.0,[],50,1.3,0.2,10,10,0.1,0.07907644437048955,0.03,2.74,1.92,5,0.5,97545.0,0.0,10,5
3621833,0.6002045655307081,107545.0,64549.0,[],50,1.3,0.2,10,10,0.1,0.07323794057861086,0.02,2.74,1.87,5,0.5,107545.0,0.0,10,5
