ID,TransmissionRatio,Total Transmissions,Total Savings,Total Transmission INEv,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
599823,1.0,160604,160548.00110855087,160604.0,"[(<tree.SEQ object at 0x7f1b0d57e9b0>, 'C'), (<tree.AND object at 0x7f1b0d57ed70>, 'C')]",20,1.3,0.5,10,39,0.1,0.06881188580017945,1.47,3.95,0.07,0,2.5,0,160604.0,0.0,6
8022548,1.0,160604,160604.0,160604.0,"[(<tree.AND object at 0x7fa6c111a0e0>, 'C')]",20,1.3,0.5,10,61,0.1,0.08214198912414114,3.22,3.95,0.13,0,3.5,0,160604.0,0.0,6
6870689,1.0,160604,160604.0,160604.0,[],20,1.3,0.5,10,57,0.1,0.07122319632334714,3.02,3.95,0.04,0,3.5,0,160604.0,0.0,6
4520243,1.0,160604,160604.0,160604.0,"[(<tree.AND object at 0x7efd9108d360>, 'E')]",20,1.3,0.5,10,39,0.1,1.0,2.78,3.95,0.08,0,1.0,0,160604.0,0.0,6
3027592,1.0,160604,123848.57812371786,160604.0,[],20,1.3,0.5,10,31,0.1,0.07145211252958229,0.82,3.95,0.05,0,2.5,0,160604.0,0.0,6
1253648,1.0,160604,56332.07882625337,160604.0,[],20,1.3,0.5,10,55,0.1,0.07881528318383303,8.29,3.95,0.06,0,3.0,0,160604.0,0.0,6
4504994,1.0,160604,21706.72071568401,160604.0,"[(<tree.AND object at 0x7ffab6ee2680>, 'C')]",20,1.3,0.5,10,26,0.1,0.04492860899006259,0.26,3.95,0.11,0,2.5,0,160604.0,0.0,6
9482879,1.0,160604,160604.0,160604.0,"[(<tree.AND object at 0x7f711deebe80>, 'E')]",20,1.3,0.5,10,37,0.1,0.08262006999337598,1.01,3.95,0.06,0,3.5,0,160604.0,0.0,6
7371077,1.0,160604,160095.38843160233,160604.0,"[(<tree.SEQ object at 0x7f5c7d699450>, 'E'), (<tree.AND object at 0x7f5c7d699db0>, 'E'), (<tree.AND object at 0x7f5c7d698fd0>, 'C'), (<tree.AND object at 0x7f5c7d698e50>, 'C')]",20,1.3,0.5,10,27,0.1,0.08075979653728234,0.41,3.95,0.07,0,2.0,0,160604.0,0.0,6
1188872,1.0007916839479682,15955,15955.0,15965.629734021939,[],20,1.3,0.5,10,167,0.1,0.07822257024201414,15.54,4.25,0.17,0,3.0,0,15953.0,0.0,10
7884787,1.0003499446041046,15952,15922.94019989892,15958.58266626928,[],20,1.3,0.5,10,161,0.1,0.06307390764130175,22.95,4.25,0.19,0,3.5,0,15953.0,0.0,10
7441920,1.0000650986360569,15953,15921.562442662997,15954.038518541016,[],20,1.3,0.5,10,127,0.1,0.06643945907645675,13.74,4.25,0.2,0,4.0,0,15953.0,0.0,10
1216253,1.0002649491082714,15949,15947.90861905366,15957.226733124253,[],20,1.3,0.5,10,142,0.1,0.07744442602859616,24.94,4.25,0.14,0,3.5,0,15953.0,0.0,10
1810839,0.9998582528547422,15944,15899.516898607038,15950.738707791701,[],20,1.3,0.5,10,172,0.1,0.07446126937951425,27.68,4.25,0.17,0,3.5,0,15953.0,0.0,10
6922624,1.0012884617853561,15963,15899.995951829258,15973.554830861787,[],20,1.3,0.5,10,159,0.1,0.08515417607361138,17.77,4.25,0.19,0,4.0,0,15953.0,0.0,10
9237734,1.0072648722629247,15959,15895.83181074357,16068.896507210438,[],20,1.3,0.5,10,32,0.1,0.08373913251500856,0.14,4.25,0.08,0,2.5,0,15953.0,0.0,10
5694037,1.0009856712527279,15958,15958.0,15968.724413494767,[],20,1.3,0.5,10,84,0.1,0.06717864402105078,1.7,4.25,0.1,0,3.5,0,15953.0,0.0,10
1410149,1.0007445336034613,15954,15852.504507065938,15964.877544576017,[],20,1.3,0.5,10,73,0.1,0.0679080918268164,1.68,4.25,0.12,0,3.5,0,15953.0,0.0,10
1624075,1.0009316648719364,15957,15905.246410315094,15967.862849702,[],20,1.3,0.5,10,151,0.1,0.08048892607575402,10.47,4.25,0.18,0,4.0,0,15953.0,0.0,10
7033785,1.0046277936753736,15985,15923.601188125403,16026.827192503235,[],20,1.3,0.5,10,154,0.1,0.07229949718946782,12.75,4.25,0.15,0,3.5,0,15953.0,0.0,10
9441410,1.0016055821858665,15948,15874.441280436526,15978.613852611126,[],20,1.3,0.5,10,101,0.1,0.07607364239023437,4.67,4.25,0.14,0,3.5,0,15953.0,0.0,10
7943068,1.0024973908323014,15970,15941.72595759348,15992.840875947702,[],20,1.3,0.5,10,129,0.1,0.0771878953009738,17.05,4.25,0.16,0,3.5,0,15953.0,0.0,10
1672763,1.0028587630317318,15968,15925.101647122849,15998.60584664522,[],20,1.3,0.5,10,131,0.1,0.07773365138993665,15.65,4.25,0.16,0,3.5,0,15953.0,0.0,10
3531129,1.002992187278698,15959,15887.348027742262,16000.73436365707,[],20,1.3,0.5,10,165,0.1,0.08356815914896783,30.96,4.25,0.16,0,3.5,0,15953.0,0.0,10
5334575,1.0,15953,15845.693223413555,15953.0,[],20,1.3,0.5,10,44,0.1,1.0,0.4,4.25,0.09,0,3.5,0,15953.0,0.0,10
876905,1.000917137957135,15966,15878.525470656985,15967.631101830177,[],20,1.3,0.5,10,34,0.1,0.08484232537306262,0.16,4.25,0.08,0,1.5,0,15953.0,0.0,10
7327277,1.0012720042279892,15957,15843.00953073198,15973.292283449111,[],20,1.3,0.5,10,200,0.1,0.06710013847407885,39.23,4.25,0.23,0,3.5,0,15953.0,0.0,10
5045974,1.0005532548813911,15960,15909.91799580312,15961.826075122834,[],20,1.3,0.5,10,82,0.1,0.09783291489544967,2.99,4.25,0.1,0,3.0,0,15953.0,0.0,10
867431,1.0010371917138767,15967,15765.43812236185,15969.546319411475,[],20,1.3,0.5,10,154,0.1,0.07501985370095218,8.5,4.25,0.13,0,3.5,0,15953.0,0.0,10
6095347,1.0022319788322158,15974,15907.624961812435,15988.60675831034,[],20,1.3,0.5,10,98,0.1,0.06280216177947351,3.12,4.25,0.13,0,3.0,0,15953.0,0.0,10
631224,1.000241694462363,15941,15842.15310767147,15956.855751758078,[],20,1.3,0.5,10,143,0.1,0.0627523872043359,12.88,4.25,0.16,0,3.0,0,15953.0,0.0,10
7097465,1.003995603533186,15975,15910.9122200712,16016.741863164918,[],20,1.3,0.5,10,93,0.1,0.09302456345783583,4.39,4.25,0.1,0,3.0,0,15953.0,0.0,10
4185177,1.001103281738996,15968,15960.829540866434,15970.600653582202,[],20,1.3,0.5,10,144,0.1,0.08164195662019158,19.02,4.25,0.15,0,3.5,0,15953.0,0.0,10
7739209,1.003277062381397,15971,15925.897851738158,16005.278976170426,[],20,1.3,0.5,10,146,0.1,0.08220254342261381,12.63,4.25,0.22,0,3.0,0,15953.0,0.0,10
3072868,1.0018118267306346,15949,15942.486789373273,15960.866023472472,[],20,1.3,0.5,10,50,0.1,0.0822976204297683,0.77,4.25,0.08,0,3.5,0,15932.0,0.0,10
6377232,0.9994517738764286,15941,15941.0,15944.254148650665,[],20,1.3,0.5,10,119,0.1,0.0825956051821591,7.62,4.25,0.13,0,3.5,0,15953.0,0.0,10
5581901,0.9998218772924041,15949,15889.218113867573,15950.158408445723,[],20,1.3,0.5,10,60,0.1,0.07495095361047985,0.97,4.25,0.1,0,3.5,0,15953.0,0.0,10
1475674,1.0039139993984425,16009,15899.274760158709,16015.440032403354,[],20,1.3,0.5,10,80,0.1,0.08317746700190938,1.68,4.25,0.1,0,3.5,0,15953.0,0.0,10
3470260,1.00011667230043,15949,15938.883920638462,15954.861273208759,[],20,1.3,0.5,10,194,0.1,0.08901893129871202,19.17,4.25,0.21,0,3.5,0,15953.0,0.0,10
4195743,1.0019642977811425,15967,15929.420256868878,15984.336442502567,[],20,1.3,0.5,10,86,0.1,0.08789094709913416,5.62,4.25,0.14,0,3.0,0,15953.0,0.0,10
8905023,1.0014488362553025,15955,15892.195795248754,15976.113284780839,[],20,1.3,0.5,10,69,0.1,0.07709975201660607,2.15,4.25,0.15,0,3.5,0,15953.0,0.0,10
2537760,1.000015984294236,15941,15891.861366852385,15953.254997445945,[],20,1.3,0.5,10,110,0.1,0.07170684090214555,5.44,4.25,0.13,0,3.5,0,15953.0,0.0,10
784578,0.999927947372464,15939,15939.0,15951.850544432918,[],20,1.3,0.5,10,51,0.1,0.06891564842063123,1.28,4.25,0.08,0,3.0,0,15953.0,0.0,10
4028934,1.0031350539114698,15969,15948.2948744361,16003.013515049679,[],20,1.3,0.5,10,72,0.1,0.09838782755758424,2.41,4.25,0.16,0,3.5,0,15953.0,0.0,10
8159200,1.002158374145732,15972,15944.184929972462,15987.432542746865,[],20,1.3,0.5,10,68,0.1,0.07523757037772119,0.71,4.25,0.1,0,3.5,0,15953.0,0.0,10
714705,1.0002803500367037,15957,15842.826170703976,15957.472424135532,[],20,1.3,0.5,10,137,0.1,0.06652461667501489,11.85,4.25,0.25,0,3.5,0,15953.0,0.0,10
6162317,1.0,15953,15866.91460519844,15953.0,[],20,1.3,0.5,10,90,0.1,0.08383679570556345,9.62,4.25,0.15,0,3.0,0,15953.0,0.0,10
6663627,1.0010800697854296,15957,15893.516914677411,15970.230353286957,[],20,1.3,0.5,10,75,0.1,0.07413115373582044,1.34,4.25,0.1,0,3.5,0,15953.0,0.0,10
9261539,1.0042970374692446,15968,15918.445144936435,16021.550638746858,[],20,1.3,0.5,10,102,0.1,0.08321948133817622,9.74,4.25,0.14,0,4.5,0,15953.0,0.0,10
7072707,1.000953552197663,15955,15905.014706552414,15968.212018209317,[],20,1.3,0.5,10,52,0.1,0.07776737499543276,0.55,4.25,0.12,0,2.5,0,15953.0,0.0,10
9737587,1.0028336632364474,15987,15930.338934317679,15998.205429611045,[],20,1.3,0.5,10,83,0.1,0.0839158911526098,3.2,4.25,0.09,0,3.0,0,15953.0,0.0,10
3105762,1.0031640376687498,15980,15926.716925338676,16003.475892929568,[],20,1.3,0.5,10,110,0.1,0.0870165051599287,3.84,4.25,0.1,0,3.5,0,15953.0,0.0,10
4668519,1.0002214554434365,15952,15883.890970688304,15956.532878689142,[],20,1.3,0.5,10,129,0.1,0.0825672147184165,14.2,4.25,0.23,0,3.5,0,15953.0,0.0,10
9266146,1.0,15953,1541.6535006635854,15953.0,[],20,1.3,0.5,10,129,0.1,0.07884514982798094,5.5,4.25,0.1,0,3.5,0,15953.0,0.0,10
947548,1.0004553623149721,15934,15853.77616625699,15936.253466315191,[],20,1.3,0.5,10,63,0.1,0.07732866538683877,0.83,4.25,0.09,0,3.5,0,15929.0,0.0,10
9591794,1.0006364222487953,15961,15903.61858157847,15963.152844135033,[],20,1.3,0.5,10,115,0.1,0.06640339731138373,5.68,4.25,0.11,0,3.5,0,15953.0,0.0,10
1254054,1.0024572375462844,15952,15882.615345047005,15992.200310575876,[],20,1.3,0.5,10,107,0.1,0.06745310648331164,2.85,4.25,0.14,0,3.5,0,15953.0,0.0,10
6150316,1.0,15919,15869.382956000856,15919.0,[],20,1.3,0.5,10,111,0.1,0.057951887223156015,10.84,4.25,0.12,0,4.0,0,15919.0,0.0,10
9773590,1.0041380789380627,15979,15883.93997515121,16019.014773298913,[],20,1.3,0.5,10,94,0.1,0.079920688337234,4.69,4.25,0.09,0,3.5,0,15953.0,0.0,10
3440537,1.0019219658042775,15974,5015.449241152008,15983.661120475637,[],20,1.3,0.5,10,129,0.1,0.07936159150973691,5.89,4.25,0.15,0,3.5,0,15953.0,0.0,10
9175073,1.0018224849289425,15946,1461.11806628725,15982.07410207142,[],20,1.3,0.5,10,42,0.1,0.07810411832122173,0.24,4.25,0.07,0,2.5,0,15953.0,0.0,10
1407830,0.9999104320182317,15941,15921.598878131676,15951.57112198685,[],20,1.3,0.5,10,50,0.1,0.07659856713462412,0.81,4.25,0.11,0,2.5,0,15953.0,0.0,10
256455,1.001046667416677,15962,15953.798224803091,15969.697485298248,[],20,1.3,0.5,10,87,0.1,0.0782846420668567,4.54,4.25,0.13,0,3.0,0,15953.0,0.0,10
5199823,1.001867097624084,15955,15901.832769804967,15982.785808397013,[],20,1.3,0.5,10,158,0.1,0.08165493978365276,10.33,4.25,0.17,0,3.5,0,15953.0,0.0,10
2619423,1.0009837592615065,15964,15926.283358061402,15968.693911498813,[],20,1.3,0.5,10,76,0.1,0.0845492056074917,1.72,4.25,0.12,0,3.5,0,15953.0,0.0,10
5807849,1.0005363926800912,15960,15867.00032176569,15961.557072425496,[],20,1.3,0.5,10,49,0.1,0.07266707328126236,0.78,4.25,0.08,0,3.5,0,15953.0,0.0,10
9535136,1.0018372435884397,15955,15874.140573196715,15982.30954696638,[],20,1.3,0.5,10,130,0.1,0.07981006347192779,19.81,4.25,0.2,0,3.5,0,15953.0,0.0,10
5738081,1.001014853636054,15955,15952.1493350627,15969.189960055968,[],20,1.3,0.5,10,88,0.1,0.08108487965416734,2.69,4.25,0.1,0,3.5,0,15953.0,0.0,10
4813785,0.989822336536284,75972,71188.28678059996,76413.29455826459,"[(<tree.AND object at 0x7f67613b3910>, 'G')]",20,1.3,0.5,10,215,0.1,0.07787661560771611,23.57,4.449999999999999,0.45,0,4.5,0,77199.0,0.0,15
9509918,0.9835906944386944,75435,74018.54919720147,75436.48830997567,"[(<tree.SEQ object at 0x7fe726d9bb80>, 'N')]",20,1.3,0.5,10,76,0.1,0.08263267844962781,2.88,4.449999999999999,0.17,0,3.0,0,76695.0,0.0,15
4322401,0.9845037081625233,75963,72074.32405986825,76002.70176643864,[],20,1.3,0.5,10,164,0.1,0.06983015840659834,33.12,4.449999999999999,0.32,0,4.5,0,77199.0,0.0,15
9529548,0.9987351181746688,75942,65044.25283722986,77101.35238796625,"[(<tree.AND object at 0x7f26a0ee6e00>, 'J')]",20,1.3,0.5,10,160,0.1,0.08459129491336573,12.64,4.449999999999999,0.28,0,4.0,0,77199.0,0.0,15
